var1,var2,var3,var4,var5
-0.17528,0.012815,0.10068,-0.034525,-0.039432
-0.046627,0.12204,0.2327,-0.10525,-0.066381
0.073408,-0.02573,-0.020601,-0.17722,0.02504
0.076466,0.016375,0.0032006,0.10431,-0.038006
-0.16397,-0.091506,0.07792,0.18453,0.10344
-0.051917,0.10313,-0.09604,0.00095331,0.016706
-0.20406,0.010316,0.14924,-0.25199,-0.073401
-0.20214,-0.001529,-0.16682,-0.067669,-0.12423
-0.029988,0.16387,-0.031934,-0.03792,-0.051484
-0.10035,0.073785,0.075031,-0.090229,0.16023
-0.17401,-0.15123,0.012225,-0.30073,-0.3048
0.0094751,0.075747,-0.020729,-0.08524,0.019344
-0.076155,0.018478,-0.052524,-0.062654,0.17661
0.1655,0.058889,0.077044,0.082735,-0.16995
-0.23248,0.04463,-0.0037559,-0.076166,0.093872
0.0088144,0.3121,-0.027961,-0.14829,-0.14875
-0.38162,-0.028566,0.070093,-0.1817,0.024544
-0.21313,0.33148,0.13183,-0.26986,-0.1629
-0.078543,0.26274,0.044894,-0.18677,-0.00073099
-0.074014,0.035674,0.1587,-0.19833,-0.085619
-0.026135,0.05051,-0.11333,-0.17373,-0.0845
-0.062312,0.018316,-0.13708,-0.096376,-0.051408
-0.12645,0.13336,0.04894,-0.070686,0.14921
0.037287,0.069398,0.084019,-0.11852,-0.066614
-0.10528,0.12543,0.14483,0.10858,-0.0081656
0.063723,0.060936,0.0035585,-0.087273,-0.059443
0.016249,0.0031947,-0.11015,0.031896,0.27368
0.051606,0.13901,0.028447,-0.031146,-0.018224
-0.18744,-0.082646,0.06404,0.048143,-0.009884
0.27276,0.25727,0.0088041,-0.086938,0.038894
-0.10154,0.010879,-0.012007,0.12167,-0.078391
-0.0091733,0.085349,-0.13797,-0.17463,-0.12687
0.037286,0.089015,-0.19053,-0.013646,-0.1637
-0.026031,0.034561,-0.20938,0.12935,-0.0012251
-0.13959,0.26176,0.18688,0.016728,-0.023536
-0.033094,0.1976,-0.27907,-0.22675,-0.16527
-0.13764,0.15691,-0.17789,-0.11034,0.062378
-0.39103,0.24108,-0.23183,-0.11964,-0.044394
-0.16094,0.30008,-0.18911,-0.133,-0.062147
-0.13457,0.0065771,-0.04695,-0.12082,-0.013385
0.017884,-0.054287,-0.22639,-0.078282,-0.13182
0.014209,0.01912,-0.13703,-0.15657,-0.093829
-0.092174,-0.026802,-0.031191,0.10405,-0.012719
0.066007,0.015384,-0.12717,0.031225,-0.087388
-0.15162,0.01694,0.057376,0.074904,-0.064958
-0.035093,-0.00044257,0.0089925,-0.12572,0.045924
-0.026584,-0.030752,0.02021,-0.14641,-0.027184
-0.11058,-0.04468,0.11258,0.017525,-0.048597
0.034874,0.077435,-0.034409,-0.1703,0.16287
-0.018996,0.15885,-0.015552,0.1217,0.064699
-0.068079,-0.12674,-0.096077,-0.084281,0.095415
0.12828,0.042504,0.010115,0.049079,-0.064609
0.11149,-0.13,-0.15362,0.040738,-0.1302
0.10533,0.050104,-0.12206,-0.080119,-0.0077085
-0.0074922,0.071353,0.024995,0.082843,-0.061892
-0.031682,0.12045,0.059751,-0.047682,-0.033105
0.18574,0.072021,-0.079105,-0.089231,0.012106
0.1447,-0.10984,0.0061287,0.24472,0.13578
0.025588,-0.1816,0.1394,0.097249,0.010474
-0.059644,-0.30546,-0.062665,0.20013,-0.04554
0.024797,-0.051297,0.11279,-0.031125,-0.2477
-0.047139,0.091193,0.14058,0.14079,0.050483
-0.027969,-0.069403,0.058275,-0.12294,0.040272
-0.11472,-0.0083087,0.13531,-0.027544,0.036527
-0.026394,0.01402,0.026658,-0.10552,0.040014
-0.080939,-0.065275,-0.045044,0.080859,0.044804
0.10117,0.24795,-0.026814,-0.078929,0.073264
-0.097307,0.045648,0.038963,0.071351,0.0027731
0.15779,0.041607,-0.15702,-0.12311,0.064449
0.15512,-0.10832,0.16697,0.082687,-0.02916
0.17647,-0.12884,-0.10587,-0.18581,0.097113
0.14112,-0.20626,-0.10186,-0.10227,-0.0572
0.053053,-0.010033,0.012865,0.33144,-0.046028
-0.096821,-0.053839,0.019624,0.045403,0.024634
0.045174,0.09819,-0.025627,-0.14242,-0.0050895
0.083845,0.20879,-0.028138,-0.13813,-0.15472
-0.13734,-0.13994,-0.062834,-0.14697,0.054681
0.19172,0.16845,0.03442,0.0045442,-0.043825
-0.14028,-0.19673,-0.091326,0.0771,-0.14496
0.011727,0.059976,0.068541,0.040463,0.19361
-0.079988,0.058707,-0.16955,0.084725,-0.049593
0.037634,0.324,-0.091139,-0.088513,0.1642
0.020705,0.07376,-0.087163,-0.14088,-0.096059
-0.10756,0.028759,0.018287,0.15838,0.0079693
0.020014,-0.011146,0.012144,-0.18534,0.055968
-0.13903,0.00086079,0.10474,0.052085,0.062241
-0.076605,-0.19962,-0.048325,-0.030167,-0.1747
-0.017437,0.17338,0.016979,0.018746,-0.16192
-0.077545,0.12967,-0.20097,-0.09169,-0.034002
-0.029076,0.1929,0.15325,-0.018979,0.14309
-0.14443,0.017905,-0.13991,0.16086,-0.19106
0.010541,0.036661,0.042437,-0.23485,-0.20024
0.017782,0.19735,0.043438,0.059475,-0.071357
-0.042009,-0.041262,-0.095585,-0.13098,-0.032143
0.094228,0.23773,0.033255,-0.026547,-0.14824
0.0044073,0.047803,-0.12099,0.07267,0.14705
-0.067623,0.002705,0.14286,-0.036312,0.057457
-0.054575,0.03401,-0.20344,-0.13838,-0.015174
-0.098032,-0.15715,0.056164,-0.083742,0.066926
-0.05478,-0.19829,0.17308,-0.050689,-0.020894
0.0011487,-0.038845,0.16509,0.13184,-0.079797
0.06317,-0.045507,-0.022247,-0.038253,-0.051531
0.20514,-0.0543,0.083207,0.063569,0.07327
0.072965,-0.15015,-0.0027376,0.3271,0.047365
0.01002,-0.090148,0.19827,-0.04561,-0.0042768
-0.040394,-0.17917,0.078088,0.0903,0.077422
0.14679,-0.055415,0.059637,-0.12014,-0.22245
0.034257,0.067705,-0.13769,0.039266,0.18647
0.19238,0.14601,0.058193,-0.042792,0.066187
-0.079615,0.037,5.2664e-05,-0.032984,0.039947
0.058582,0.20441,-0.14755,-0.12409,0.021454
0.01039,0.028741,-0.065905,0.34382,-0.16558
0.16312,-0.016654,-0.12724,-0.042101,0.10922
0.12785,-0.27835,0.083657,0.12854,0.1297
0.30534,-0.34989,0.16815,0.06159,-0.056274
0.11311,-0.18334,0.013823,0.27699,-0.032126
0.26351,-0.066871,-0.086792,0.12324,0.0053757
0.18723,-0.21008,0.10195,0.19865,0.21807
0.11477,0.011606,0.0080201,0.23589,-0.096677
-0.027987,-0.051477,0.059134,-0.028392,-0.028698
-0.10299,0.27539,-0.06918,-0.021575,-0.17776
-0.23842,0.097439,-0.12173,-0.088196,0.09389
-0.12718,0.24843,0.10162,0.033234,0.025342
-0.1202,0.3,0.037033,-0.13379,-0.061816
-0.16582,0.079807,-0.12092,-0.13831,0.041675
-0.075381,-0.0085091,-0.072214,-0.052309,0.050924
0.064252,-0.044537,-0.048295,-0.16091,-0.050176
-0.073261,-0.15572,0.079691,-0.15555,-0.017404
0.11082,0.01248,0.044127,0.036061,0.29089
-0.044268,0.0057746,-0.1189,0.15183,0.09002
0.088371,-0.01707,-0.043476,0.065289,0.043903
0.18016,0.037001,0.26698,0.1971,-0.12118
-0.12809,-0.13229,-0.13366,0.052646,0.14247
0.15013,-0.021744,0.15212,0.02803,-0.032994
0.11994,0.059489,-0.028425,0.078124,0.040012
-0.036432,-0.0030443,0.041376,0.1723,0.026848
-0.08244,0.0094235,-0.0096956,-0.061639,0.25363
-0.055599,0.048669,-0.066691,-0.044365,-0.049332
-0.02314,0.060901,-0.036227,-0.010924,0.26076
0.09161,0.099453,-0.10192,0.041764,0.10951
-0.24845,-0.0039494,0.24948,-0.07617,-0.095933
0.086545,-0.030108,-0.045671,-0.087261,-0.071512
0.018897,-0.037936,-0.046646,0.049128,-0.098029
-0.1874,0.093475,-0.19016,-0.033971,0.1648
-0.30083,0.12173,0.086378,0.062119,-0.035787
-0.133,-0.034995,0.0096365,-0.26044,-0.12156
0.019877,0.045348,-0.056199,-0.18027,-0.0097554
-0.10167,-0.081446,0.032367,0.12712,-0.03364
0.028286,-0.0092252,0.012626,-0.12989,-0.10512
